Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,7263.958984,7278.809570,6937.829102,7029.375977,4315.704590,214275
2015-06-02,7029.375977,7228.981445,6936.949707,7030.060059,4316.124512,124995
2015-06-03,7030.060059,7083.405273,6939.783203,6966.944336,4277.374023,59477
2015-06-04,6966.944336,7127.371582,6844.035156,6892.886230,4231.905762,76069
2015-06-05,6892.886230,6966.162598,6837.977539,6909.690918,4242.223633,61374
2015-06-08,6909.690918,6966.162598,6790.298828,6844.523438,4202.213379,50407
2015-06-09,6844.523438,7156.388672,6844.035156,7032.893555,4317.863770,317402
2015-06-10,7032.893555,7278.711914,7032.893555,7186.285645,4412.039063,146168
2015-06-11,7186.285645,7278.809570,7098.158203,7198.596191,4419.598145,244605
2015-06-12,7198.596191,7327.660645,7102.945801,7206.119141,4424.216309,238465
2015-06-15,7206.119141,7181.107422,7034.554199,7113.106934,4367.111328,13429
2015-06-16,7113.106934,7112.715820,6956.392578,6982.674316,4287.031738,152651
2015-06-17,6982.674316,7034.554199,6878.230957,6942.127930,4262.138184,155062
2015-06-18,7024.784180,7024.784180,6795.281738,6848.822754,4204.853027,83174
2015-06-19,6848.822754,6888.000977,6674.131348,6857.322754,4210.071777,151007
2015-06-22,6857.322754,6936.852051,6839.149902,6886.535645,4228.006836,33700
2015-06-23,6936.852051,7010.324219,6848.822754,6866.995117,4216.010254,88289
2015-06-24,6927.082031,6927.082031,6693.573730,6877.839844,4222.668457,101780
2015-06-25,6877.839844,6936.754395,6839.149902,6882.236816,4225.367676,85060
2015-06-26,6934.897949,6934.897949,6863.575684,6910.081543,4242.463379,108643
2015-06-30,6910.081543,6936.852051,6829.379883,6914.869141,4245.402344,60560
2015-07-01,6914.869141,6936.852051,6742.522461,6775.350586,4159.744629,179753
2015-07-02,6775.350586,6926.104980,6574.377441,6819.218750,4186.677734,87868
2015-07-03,6819.218750,6880.185059,6643.843262,6825.178711,4190.337402,34644
2015-07-06,6825.178711,6873.248047,6741.447754,6797.724121,4173.480469,15670
2015-07-07,6797.724121,6880.185059,6721.907227,6844.816895,4202.394043,33200
2015-07-08,6844.816895,6935.875000,6643.647949,6710.183105,4119.735352,56490
2015-07-09,6710.183105,6839.052246,6682.826660,6749.068848,4143.609375,55876
2015-07-10,6790.298828,6935.875000,6761.965332,6857.518066,4210.191895,182234
2015-07-13,6857.518066,6985.703125,6712.137207,6809.839355,4180.918945,35158
2015-07-14,6809.839355,6809.839355,6752.195313,6779.942383,4162.563965,24609
2015-07-15,6779.942383,6927.082031,6643.745605,6796.551758,4172.761230,267541
2015-07-17,6984.726074,6984.726074,6692.596680,6768.902344,4155.785645,60004
2015-07-20,6768.902344,6839.052246,6768.804688,6820.684082,4187.577148,34139
2015-07-21,6663.286133,6936.852051,6663.286133,6889.075684,4229.566406,180073
2015-07-22,6889.075684,6887.805664,6829.379883,6845.793945,4202.993652,33041
2015-07-23,6845.793945,6927.082031,6790.298828,6803.977051,4177.319824,27429
2015-07-24,6803.977051,6800.069336,6673.056152,6694.843750,4110.317871,20361
2015-07-27,6694.843750,6736.562988,6449.318359,6654.688477,4085.663574,116435
2015-07-28,6644.820313,6789.321777,6643.940918,6646.872070,4080.865234,146770
2015-07-29,6646.872070,6839.052246,6594.894531,6708.815430,4118.895508,91625
2015-07-30,6708.229004,6825.471680,6653.516113,6684.683105,4104.078613,47948
2015-07-31,6684.683105,6839.052246,6718.097168,6806.712891,4178.999512,136128
2015-08-03,6806.712891,6828.402832,6604.860352,6697.481934,4111.937012,46562
2015-08-04,6697.481934,6741.447754,6448.341309,6550.733398,4021.840576,175398
2015-08-05,6550.733398,6740.470703,6399.490234,6447.755371,3958.617188,93537
2015-08-06,6447.755371,6399.490234,6161.097168,6255.770508,3840.746826,100159
2015-08-07,6255.770508,6467.784180,6252.937012,6380.340820,3917.227295,77599
2015-08-10,6380.340820,6546.043457,6350.639160,6351.030273,3899.232178,197996
2015-08-11,6351.030273,6350.736816,6233.396973,6240.333496,3831.269531,44924
2015-08-12,6240.333496,6301.690430,6165.005371,6203.597656,3808.715332,314012
2015-08-13,6240.235840,6301.690430,6208.971191,6223.235840,3820.771973,94136
